ID,carat,cut,color,clarity,depth,table,price,x,y,z
58,0.24,Very Good,G,VVS2,62,56,449,4,4.03,2.49
8,0.27,Very Good,D,VS1,60.4,59,470,4.15,4.2,2.52
53,0.29,Very Good,E,VVS1,60.9,61,629,4.23,4.27,2.59
1,0.3,Premium,E,VS2,61.7,60,570,4.28,4.31,2.65
42,0.3,Ideal,G,VS2,63,55,675,4.31,4.29,2.71
80,0.3,Ideal,H,SI1,62.2,53,1105,4.29,4.32,2.68
81,0.3,Ideal,F,VVS2,61.5,58,694,4.3,4.35,2.66
98,0.3,Very Good,H,SI1,62.9,58,421,4.22,4.24,2.66
12,0.32,Ideal,G,SI1,62.3,57,508,4.38,4.41,2.74
19,0.32,Ideal,G,IF,60.9,57,918,4.41,4.46,2.7
24,0.32,Ideal,J,SI1,61.8,54.9,384,4.39,4.42,2.72
35,0.32,Ideal,F,VVS1,62.3,55,854,4.37,4.4,2.73
57,0.32,Ideal,D,VS1,61.4,56,720,4.38,4.41,2.7
64,0.33,Very Good,I,SI1,61.4,58,445,4.46,4.5,2.75
61,0.34,Ideal,D,VVS1,62.4,55,2131,4.45,4.49,2.79
73,0.34,Idea,D,SI1,60.1,57,803,4.56,4.52,2.73
41,0.35,Very Good,D,VS1,63,57,771,4.48,4.51,2.83
55,0.35,Ideal,I,VS1,60.9,57,709,4.59,4.54,2.78
85,0.37,Idea,F,NA,61.7,56,1041,4.63,4.61,2.85
91,0.37,Ideal,H,IF,61.7,53,936,4.66,4.68,2.88
95,0.37,Premium,F,VS2,61.9,59,746,4.57,4.61,2.84
18,0.38,Ideal,F,SI1,62.5,53.7,693,4.64,4.66,2.91
59,0.38,Very Good,H,VS2,60.4,56,871,4.71,4.73,2.85
68,0.4,Good,F,VVS1,63.3,57,1145,4.68,4.7,2.97
30,0.42,Premium,E,SI1,59.8,61,926,4.89,4.85,2.91
97,0.42,Ideal,E,VVS2,62.3,NA,1216,4.76,4.81,2.98
22,0.43,Ideal,G,IF,62.4,54,1318,4.84,4.87,3.03
70,0.43,Very Good,D,VS1,61.2,58,1199,4.82,4.88,2.97
72,0.44,Premium,G,VS1,62.3,59,1031,4.87,4.82,3.02
34,0.46,Ideal,G,VVS1,60.7,57,1453,4.98,5.03,3.04
60,0.5,Premium,G,VS1,62.5,60,1583,5.13,5.08,3.19
2,0.51,Ideal,G,VS2,61.8,55,1557,5.15,5.18,3.19
33,0.51,Ideal,H,VVS2,61.6,55,1877,5.11,5.14,3.16
37,0.51,Ideal,H,SI2,61.8,53,983,5.14,5.18,3.19
77,0.51,Ideal,G,SI1,63,53,1312,5.13,5.1,3.22
82,0.51,Ideal,D,VS1,61.7,54,1845,5.15,5.12,3.17
38,0.52,Ideal,D,VS2,60.3,56,1677,5.24,5.27,3.17
50,0.52,Very Good,G,SI1,59.6,62,1244,5.18,5.23,3.1
50,0.52,Very Good,G,SI1,59.6,62,1244,5.18,5.23,3.1
78,0.53,Ideal,H,SI2,61.5,56,1000,5.21,5.23,3.21
32,0.54,Ideal,D,VS1,62,56,1941,5.21,5.25,3.24
45,0.54,Ideal,F,NA,59.8,58,1680,5.29,5.34,3.18
88,0.58,Good,E,SI1,61,62,1844,5.36,5.33,3.26
63,0.61,Ideal,G,IF,61.7,55,2575,5.44,5.49,3.37
3,0.7,Very Good,E,SI2,63.5,54,2310,5.69,5.64,3.6
43,0.7,Very Good,F,SI1,60,58,2553,5.75,5.79,3.46
6,0.71,Very Good,E,VS1,61.8,56,3059,5.74,5.78,3.56
87,0.71,Ideal,G,VS2,61.8,56,3299,5.72,5.75,3.55
56,0.72,Good,H,VS2,61.8,61,NA,5.68,5.75,3.53
48,0.76,Ideal,E,VS2,61.5,56,3192,5.92,5.89,3.63
10,0.78,Premium,F,SI1,61.5,59,2816,5.96,5.88,3.64
76,0.78,Good,E,SI2,63.7,54,2363,5.82,5.77,3.69
9,0.81,Very Good,F,SI2,62.7,58,2942,5.92,5.95,3.72
36,0.85,Premium,J,VS2,60.7,58,2295,6.12,6.08,3.71
66,0.9,Very Good,F,SI2,NA,61,4441,6.14,6.18,3.76
20,0.91,Very Good,E,SI2,62.8,59,3968,6.13,6.16,3.86
92,0.91,Very Good,D,SI1,63.5,56,4389,6.13,6.18,3.91
5,1,Premium,H,VS2,61.9,61,4536,6.37,6.23,3.9
31,1,Very Good,E,SI1,63.2,57,5396,6.39,6.36,4.03
49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1,Ideal,E,SI1,62.6,56,4480,6.37,6.29,3.96
93,1,Ideal,E,SI1,62.6,56,4480,6.37,6.29,3.96
96,1,Ideal,D,IF,60.7,57,16469,6.44,6.48,3.92
26,1.01,Ideal,D,SI1,62,57,5832,6.37,6.44,3.97
26,1.01,Ideal,D,SI1,62,57,5832,6.37,6.44,3.97
67,1.01,Premium,G,SI2,60.1,60,4270,6.48,6.44,3.88
79,1.01,Very Good,I,SI1,62.1,59,4418,6.36,6.42,3.97
99,1.01,Premium,E,VS1,61.2,61,6670,6.41,6.33,3.9
90,1.02,Good,D,SI2,57.5,62,NA,6.6,6.62,3.8
100,1.02,Very Good,F,VS1,62.7,55,7539,6.37,6.43,4.01
40,1.03,Ideal,F,VVS2,62.5,56,9254,6.46,6.53,4.06
71,1.03,Premium,G,VS1,60.7,58,NA,6.55,6.5,3.96
46,1.04,Ideal,J,SI2,60.4,57,3762,6.55,6.6,3.97
65,1.04,Very Good,F,VS2,60.1,59,6342,6.56,6.61,3.96
69,1.05,Premium,F,VS1,61,58,7879,6.6,6.55,4.01
15,1.06,Premium,H,VS2,62,58,5783,6.5,6.57,4.05
83,1.06,Premium,I,SI2,60.9,58,4096,6.6,6.56,4.01
13,1.07,Ideal,G,VVS2,61.5,56,8707,6.58,6.6,4.05
7,1.1,Premium,D,SI2,62.4,58,4640,5.74,5.78,3.56
23,1.13,Ideal,E,I1,62,55,3797,6.7,6.66,4.14
74,1.14,Ideal,F,VS1,61.1,55,8953,6.74,6.78,4.13
47,1.15,Premium,G,VVS1,60.8,58,8863,6.74,6.77,4.11
86,1.2,Very Good,I,VS2,62.5,59,5724,6.73,6.77,4.22
4,1.21,Very Good,I,VS1,59.4,60,5865,6.9,6.97,4.12
21,1.21,Premium,H,SI2,62.1,56,5082,6.8,6.76,4.21
11,1.23,Premium,F,VS2,61.2,58,9333,6.93,6.87,4.22
94,1.24,Ideal,H,VS1,61.6,56,8299,6.88,6.91,4.25
84,1.26,Ideal,D,SI2,61.6,56,5412,6.99,6.95,4.3
44,1.27,Premium,I,SI2,62,60,4836,6.91,6.86,4.27
89,1.31,Premium,E,SI1,62.4,58,8767,7.03,6.95,4.36
75,1.32,Very Good,I,VS1,63.5,58,6793,6.89,6.94,4.39
54,1.33,Premium,I,NA,61.5,58,6963,7.02,7.06,4.33
62,1.33,Ideal,D,VS2,62.8,56,11409,7.08,7.03,4.43
16,1.5,Very Good,D,SI1,61,61,11756,7.28,7.32,4.45
28,1.5,Good,G,I1,64,61,4731,7.15,7.04,0
25,1.51,Fair,I,I1,65.7,61,5074,7.08,7.02,4.63
51,1.51,Very Good,I,VVS2,61.9,56,9416,7.35,7.38,4.56
14,1.56,Premium,G,SI2,61.7,59,8858,7.51,7.43,4.61
27,1.57,Ideal,E,VS2,60.5,57,17548,7.53,7.57,4.57
39,1.59,NA,D,SI2,61.6,55,8975,7.48,7.45,4.6
52,1.67,Premium,H,SI2,62.6,60,8118,7.57,7.52,4.72
29,2.19,Good,I,SI2,63.7,57,11756,8.23,8.19,5.23
17,NA,Ideal,G,VS1,60.6,57,13034,7.47,7.36,4.49